"city_depart","city_arrival","count","city_arrival_present","city_depart_present"
11001,11001,736,NA,NA
11001,11002,2330,NA,NA
11001,11004,12,NA,NA
11001,11005,165,NA,NA
11001,11007,6,NA,NA
11001,11008,13,NA,NA
11001,11009,2,NA,NA
11001,11013,163,NA,NA
11001,11016,1,NA,NA
11001,11018,63,NA,NA
11001,11021,10,NA,NA
11001,11022,3,NA,NA
11001,11023,2,NA,NA
11001,11024,144,NA,NA
11001,11025,8,NA,NA
11001,11029,117,NA,NA
11001,11030,45,NA,NA
11001,11035,9,NA,NA
11001,11037,126,NA,NA
11001,11038,72,NA,NA
11001,11039,4,NA,NA
11001,11040,14,NA,NA
11001,11044,2,NA,NA
11001,11050,23,NA,NA
11001,11052,26,NA,NA
11001,11053,3,NA,NA
11001,11054,4,NA,NA
11001,11055,1,NA,NA
11001,11056,45,NA,NA
11001,11057,5,NA,NA
11001,12002,4,NA,NA
11001,12005,6,NA,NA
11001,12007,37,NA,NA
11001,12009,17,NA,NA
11001,12014,9,NA,NA
11001,12021,23,NA,NA
11001,12025,120,NA,NA
11001,12026,2,NA,NA
11001,12029,2,NA,NA
11001,12030,56,NA,NA
11001,12034,3,NA,NA
11001,12035,13,NA,NA
11001,12040,34,NA,NA
11001,13001,1,NA,NA
11001,13004,7,NA,NA
11001,13008,1,NA,NA
11001,13010,3,NA,NA
11001,13011,14,NA,NA
11001,13012,3,NA,NA
11001,13013,2,NA,NA
11001,13014,4,NA,NA
11001,13017,1,NA,NA
11001,13025,2,NA,NA
11001,13029,5,NA,NA
11001,13031,1,NA,NA
11001,13035,1,NA,NA
11001,13037,2,NA,NA
11001,13040,9,NA,NA
11001,13044,1,NA,NA
11001,13049,3,NA,NA
11001,21001,20,NA,NA
11001,21002,6,NA,NA
11001,21003,1,NA,NA
11001,21004,144,NA,NA
11001,21005,9,NA,NA
11001,21006,18,NA,NA
11001,21007,14,NA,NA
11001,21009,9,NA,NA
11001,21010,7,NA,NA
11001,21012,10,NA,NA
11001,21013,2,NA,NA
11001,21014,5,NA,NA
11001,21015,21,NA,NA
11001,21016,4,NA,NA
11001,21017,9,NA,NA
11001,21018,20,NA,NA
11001,21019,7,NA,NA
11001,23002,10,NA,NA
11001,23003,5,NA,NA
11001,23016,12,NA,NA
11001,23025,13,NA,NA
11001,23027,5,NA,NA
11001,23038,2,NA,NA
11001,23039,3,NA,NA
11001,23045,24,NA,NA
11001,23047,35,NA,NA
11001,23050,1,NA,NA
11001,23060,3,NA,NA
11001,23081,1,NA,NA
11001,23086,1,NA,NA
11001,23088,21,NA,NA
11001,23094,59,NA,NA
