"city_depart","city_arrival","count","city_arrival_present","city_depart_present"
11002,11002,88391,NA,NA
11002,12014,80,NA,NA
11002,12025,1423,NA,NA
11002,13040,341,NA,NA
11002,21001,231,NA,NA
11002,21004,2457,NA,NA
11002,21009,339,NA,NA
11002,21015,422,NA,NA
11002,21016,73,NA,NA
11002,24062,440,NA,NA
11002,31005,49,NA,NA
11002,34022,23,NA,NA
11002,35013,17,NA,NA
11002,36015,9,NA,NA
11002,41002,49,NA,NA
11002,44021,558,NA,NA
11002,46003,838,NA,NA
11002,46021,389,NA,NA
11002,52011,17,NA,NA
11002,53053,10,NA,NA
11002,55022,2,NA,NA
11002,57081,3,NA,NA
11002,62003,1,NA,NA
11002,62051,3,NA,NA
11002,62063,14,NA,NA
11002,63079,2,NA,NA
11002,71004,21,NA,NA
11002,71016,39,NA,NA
11002,71022,69,NA,NA
11002,81004,1,NA,NA
11002,92094,7,NA,NA
11002,92137,1,NA,NA
12014,11002,1141,NA,NA
12014,12014,4133,NA,NA
12014,12025,862,NA,NA
12014,13040,58,NA,NA
12014,21001,13,NA,NA
12014,21004,196,NA,NA
12014,21009,19,NA,NA
12014,21015,20,NA,NA
12014,21016,3,NA,NA
12014,24062,257,NA,NA
12014,31005,2,NA,NA
12014,34022,1,NA,NA
12014,35013,1,NA,NA
12014,41002,3,NA,NA
12014,44021,10,NA,NA
12014,46003,7,NA,NA
12014,46021,5,NA,NA
12014,62003,1,NA,NA
12014,71004,13,NA,NA
12014,71016,4,NA,NA
12014,71022,28,NA,NA
12014,92094,1,NA,NA
12025,11002,2217,NA,NA
12025,12014,99,NA,NA
12025,12025,10522,NA,NA
12025,13040,101,NA,NA
12025,21001,123,NA,NA
12025,21004,1580,NA,NA
12025,21009,187,NA,NA
12025,21015,270,NA,NA
12025,21016,45,NA,NA
12025,24062,447,NA,NA
12025,31005,4,NA,NA
12025,34022,6,NA,NA
12025,35013,4,NA,NA
12025,36015,2,NA,NA
12025,41002,11,NA,NA
12025,44021,74,NA,NA
12025,46003,32,NA,NA
12025,46021,36,NA,NA
12025,52011,2,NA,NA
12025,55022,1,NA,NA
12025,62003,1,NA,NA
12025,62063,2,NA,NA
12025,71004,1,NA,NA
12025,71016,2,NA,NA
12025,71022,13,NA,NA
12025,81001,1,NA,NA
12025,92094,2,NA,NA
12025,92137,1,NA,NA
13040,11002,795,NA,NA
13040,12014,7,NA,NA
13040,12025,44,NA,NA
13040,13040,7931,NA,NA
13040,21001,10,NA,NA
13040,21004,110,NA,NA
13040,21009,9,NA,NA
13040,21015,13,NA,NA
13040,24062,39,NA,NA
13040,31005,6,NA,NA
13040,34022,2,NA,NA
13040,35013,1,NA,NA
13040,41002,7,NA,NA
13040,44021,9,NA,NA
13040,46003,8,NA,NA
13040,46021,5,NA,NA
13040,52011,1,NA,NA
13040,57081,1,NA,NA
13040,62063,1,NA,NA
13040,63079,1,NA,NA
13040,71004,7,NA,NA
13040,71016,6,NA,NA
13040,71022,13,NA,NA
13040,81001,1,NA,NA
13040,92094,1,NA,NA
21001,11002,80,NA,NA
21001,12014,5,NA,NA
21001,12025,31,NA,NA
21001,21001,5681,NA,NA
21001,21004,4472,NA,NA
21001,21009,1019,NA,NA
21001,21015,565,NA,NA
21001,21016,578,NA,NA
21001,24062,28,NA,NA
21001,31005,3,NA,NA
21001,34022,2,NA,NA
21001,35013,1,NA,NA
21001,41002,12,NA,NA
21001,44021,29,NA,NA
21001,46003,3,NA,NA
21001,46021,1,NA,NA
21001,52011,58,NA,NA
21001,53053,34,NA,NA
21001,55022,17,NA,NA
21001,57081,9,NA,NA
21001,62003,1,NA,NA
21001,62051,2,NA,NA
21001,62063,15,NA,NA
21001,62096,2,NA,NA
21001,71016,2,NA,NA
21001,71022,3,NA,NA
21001,83034,1,NA,NA
21001,92094,23,NA,NA
21001,92137,2,NA,NA
21004,11002,234,NA,NA
21004,12014,2,NA,NA
21004,12025,85,NA,NA
21004,13040,3,NA,NA
21004,21001,1296,NA,NA
21004,21004,13792,NA,NA
21004,21009,2036,NA,NA
21004,21015,1414,NA,NA
21004,21016,635,NA,NA
21004,24062,173,NA,NA
21004,31005,17,NA,NA
21004,34022,6,NA,NA
21004,35013,2,NA,NA
21004,36015,2,NA,NA
21004,41002,38,NA,NA
21004,44021,64,NA,NA
21004,46003,5,NA,NA
21004,46021,12,NA,NA
21004,52011,88,NA,NA
21004,53053,44,NA,NA
21004,55022,16,NA,NA
21004,57081,12,NA,NA
21004,62003,2,NA,NA
21004,62051,6,NA,NA
21004,62063,44,NA,NA
21004,62096,5,NA,NA
21004,63079,1,NA,NA
21004,71004,2,NA,NA
21004,71016,3,NA,NA
21004,71022,10,NA,NA
21004,81001,1,NA,NA
21004,83034,3,NA,NA
21004,92094,59,NA,NA
21004,92137,1,NA,NA
21009,11002,82,NA,NA
21009,12014,1,NA,NA
21009,12025,22,NA,NA
21009,21001,568,NA,NA
21009,21004,5659,NA,NA
21009,21009,4768,NA,NA
21009,21015,625,NA,NA
21009,21016,830,NA,NA
21009,24062,74,NA,NA
21009,31005,4,NA,NA
