"pop_data.age";"household_id";"hub_id";"community_id";"community2_id"
37;13749;1484;15;15
54;1695;1357;40;40
39;13395;0;38;20
22;15654;276;21;38
53;2543;1500;44;44
38;2220;1063;21;24
1;4667;163;41;44
20;2355;294;19;26
10;3516;233;11;37
11;7047;242;35;35
46;1111;524;30;17
45;6492;1041;24;24
20;7287;0;49;49
45;486;773;43;11
27;14660;1320;21;21
40;10195;1106;25;25
70;6127;0;1;11
0;9314;139;15;42
48;3481;1061;11;43
36;10111;742;30;46
18;6111;683;12;41
38;4508;0;37;37
25;285;0;14;45
48;13284;0;18;45
48;6314;1134;39;39
38;6240;0;31;22
40;9242;0;29;14
33;436;524;28;5
60;15065;0;45;50
29;4998;729;30;30
84;13225;0;17;6
34;798;0;20;20
57;1728;425;36;22
37;111;0;39;42
33;950;876;29;14
45;3785;1463;11;37
46;11764;466;41;25
8;5822;219;42;5
10;1222;229;21;21
40;1059;789;40;40
43;10628;1348;26;19
66;4974;0;20;38
28;8000;1067;6;6
39;7345;902;27;43
29;8488;1504;26;29
55;15240;0;40;49
2;13553;136;26;26
30;8695;1516;26;26
42;5643;1538;12;28
9;2479;232;30;6
44;1436;466;48;21
36;12362;582;23;23
48;3434;1615;19;26
22;14294;310;34;44
29;12829;1593;30;46
12;5090;254;25;47
51;14621;916;4;47
39;12745;1357;35;35
44;13361;1482;26;19
15;15900;248;31;31
12;15628;251;17;6
34;2108;1082;49;49
79;3283;0;36;49
46;12306;1495;26;19
54;749;1142;27;27
76;15635;0;17;6
56;4635;0;32;32
43;2053;1556;14;14
19;12274;273;2;44
41;4809;1463;37;37
47;3101;1369;24;24
30;3124;0;6;15
71;3419;0;41;12
60;6699;0;24;21
46;1341;1365;30;5
22;4280;261;41;25
28;3625;1499;38;24
32;7630;1581;45;50
65;3446;0;21;21
15;3302;246;32;32
23;7566;294;19;19
47;4485;1433;28;33
1;14866;137;15;15
47;15490;688;26;26
46;13659;1488;11;26
52;14221;0;40;40
18;10953;291;40;49
4;1207;203;19;19
36;649;0;3;3
46;15670;0;26;9
33;8867;1272;10;10
1;9473;73;32;32
52;4151;656;17;17
60;10895;736;24;21
6;14803;242;21;24
20;12512;297;49;13
1;2754;114;23;23
13;3519;249;4;4
22;8477;291;40;40
45;13722;1213;25;12
66;11101;0;18;18
6;3057;232;6;6
47;6038;0;21;21
9;968;219;6;17
70;13866;0;50;45
37;1185;1113;39;42
62;12599;1180;42;42
51;3356;447;27;3
56;14470;1097;26;9
48;13853;1110;46;2
6;13105;237;21;21
1;10466;179;24;47
64;1664;0;21;20
37;15161;1028;9;9
41;3383;313;30;30
50;817;620;4;14
48;10307;518;21;18
53;5101;524;44;44
48;7682;1488;19;19
57;1587;1483;49;49
38;6727;0;4;10
61;14878;0;48;38
18;7669;271;40;49
35;4474;1581;21;21
32;4912;1339;47;47
18;4646;747;28;28
50;14524;1482;19;26
6;5073;241;3;32
71;15621;0;6;17
20;5868;0;24;24
36;15145;1403;4;4
60;7816;0;3;3
44;5994;378;21;21
31;5615;0;3;3
75;15338;0;44;2
54;694;1095;47;31
14;8559;249;12;12
71;13732;0;21;21
43;3250;764;18;18
45;2568;736;35;40
10;4413;230;6;6
74;7811;0;42;6
49;4668;938;21;38
77;4566;0;11;43
50;4814;425;31;47
28;2282;0;18;18
35;691;1367;15;6
50;14663;1463;37;1
61;14613;0;17;34
46;13605;1440;18;50
45;1280;1581;7;20
67;8556;0;35;35
52;326;0;42;42
24;10375;266;19;11
37;7837;1453;18;20
15;14130;249;33;33
40;3833;0;43;43
